yrs,.variable,LCL,UCL,mean
2006,With recovery actions,6533.839719438691,8968.005512218253,7598.663046573248
2007,Status quo,6668.402568254473,7933.8427543646785,7244.084490756366
2007,With recovery actions,6776.642057014456,8060.084074516916,7362.234638986975
2008,Status quo,6214.229141294183,8559.44770471302,7235.2733742439095
2008,With recovery actions,6343.86162284337,8705.03851764312,7375.981852507984
2009,Status quo,6448.438672210102,7758.235944908165,7031.706866305959
2009,With recovery actions,6604.675277479311,7945.929023263174,7197.59411709156
2010,Status quo,5422.066184930546,6508.943795043589,5921.479349491704
2010,With recovery actions,5575.766943736029,6689.492462667596,6083.062590266321
2011,Status quo,5121.160331303264,6971.987664048702,5943.496206956462
2011,With recovery actions,5288.503987231465,7150.349636297234,6112.8911964311565
2012,Status quo,4743.0139705639895,5876.752979118836,5273.213301293296
2012,With recovery actions,4924.828616107611,6057.830300014964,5452.153465493249
2013,Status quo,4405.049248669274,5985.555938532206,5114.6273416276845
2013,With recovery actions,4629.735786592712,6259.490835495672,5337.773806918723
2014,Status quo,4321.635078973515,5530.011419442681,4885.0844863925595
2014,With recovery actions,4508.913880676001,5736.503148834219,5074.338313988855
2015,Status quo,3772.881085031832,5129.514710817083,4387.053635368858
2015,With recovery actions,3934.750867707652,5286.110679072631,4543.955850362829
2016,Status quo,3704.051413560723,5104.8324475886975,4321.972097790461
2016,With recovery actions,3918.535120114016,5315.620791041441,4533.226585588313
2017,Status quo,3254.281541966486,4072.9259238426102,3641.7015909267197
2017,With recovery actions,3561.0839716277824,4372.474086940515,3939.1359114563124
2018,Status quo,3225.9586116661953,3933.136059834842,3561.223281579833
2018,With recovery actions,3613.3541753914774,4296.362604530368,3931.49863728569
2019,Status quo,3086.846654307323,3685.970923765541,3371.683386767761
2019,With recovery actions,3592.6322811954187,4173.487641964818,3864.5459613249595
2020,Status quo,3056.7120572980143,3786.5111639476477,3392.922827319597
2020,With recovery actions,3712.0672191574768,4444.807243909071,4049.786456680034
2021,Status quo,3090.958256048478,3819.0335301803466,3429.0061908190955
2021,With recovery actions,3986.6274327040055,4798.313385474443,4362.424659026553
2022,Status quo,2919.3212052319964,3759.18802306538,3303.917478988132
2022,With recovery actions,3991.9972296972687,4944.980750987434,4435.82753085313
2023,Status quo,2793.1758963121797,3611.8767659525042,3177.431911273337
2023,With recovery actions,4242.947606132846,5288.064794177038,4731.3372957117435
