i,j,lambda,lambda.lower,lambda.upper,R,R.lower,R.upper,S,S.lower,S.upper,totAdults,totAdults.lower,totAdults.upper,totN,totN.lower,totN.upper,totNMF,totNMF.lower,totNMF.upper,.width,.point,.interval,yrs,herd,trt
15,17,1.0204297536492142,0.6360800089594815,1.6538670728248044,0.20289667109492898,0.15156924989904183,0.2671792392549259,0.8947976579138831,0.8357942517198026,0.9449029906786242,17,7,32,19,8,37,30.959423496985416,12.536598622619648,64.46926147617451,0.9,median,qi,1989,Groundhog,Reference
15,18,0.9973565646262124,0.6309843421838045,1.6200663227476495,0.18763366647806534,0.1244169658364661,0.2760248267574473,0.8949323124132834,0.8330315957812066,0.9403228195461445,17,7,32,19,9,37,30.679085129744244,13.247004015350562,63.548883305073154,0.9,median,qi,1990,Groundhog,Reference
15,19,1.0408237754767438,0.6393663743358236,1.6767325320703619,0.22213267183821406,0.14981328573891,0.30127205788963013,0.8875484043419873,0.8121301539874466,0.9404599989628745,17,8,32,20,9,37,31.83004314904271,14.305238246696845,64.27306308777979,0.9,median,qi,1991,Groundhog,Reference
15,20,0.976726119337348,0.6032086204833331,1.5731986240151434,0.16724929080528372,0.12344682884768897,0.21996260982097593,0.903378569325978,0.8441855523632473,0.9492372549265594,17.5,8,31,20,9,35,31.535826178344962,14.265541772283065,60.17906205560045,0.9,median,qi,1992,Groundhog,Reference
15,21,1.0808567463681555,0.6725129860512153,1.7436705735138922,0.2465819026293633,0.1922138624702918,0.3078185796217872,0.9049123205418405,0.8451621530885691,0.9481510774005152,18,9,30,21,10,36,33.29018239922551,16.53030006588601,62.25031694682667,0.9,median,qi,1993,Groundhog,Reference
15,22,1.060281445472183,0.6618044621088762,1.707027736151677,0.23024961290472973,0.18494781281427972,0.28379577754095714,0.8801913595165403,0.811503646422355,0.9323003832221484,19,9,32,22,11,37,35.43531433531458,17.77038440279131,66.5189606652287,0.9,median,qi,1994,Groundhog,Reference
15,23,1.030980675845048,0.619222069661065,1.657738648407474,0.2278912544926328,0.1807332326525008,0.28526476587197613,0.8635995249662314,0.7984063459337521,0.9183216633221941,19,10,31,22,12,37,36.003992279156634,18.522564630292646,64.49200235021458,0.9,median,qi,1995,Groundhog,Reference
15,24,0.9639469863053549,0.6133219786666992,1.4841242856503607,0.19858213757944476,0.15371238142628105,0.25110452859258686,0.821859593469986,0.7433207173300751,0.8827879529839743,19,10.949999999999989,30,22,13,35,34.74224922244389,18.741706684497302,60.87253390240801,0.9,median,qi,1996,Groundhog,Reference
15,25,0.8983534414286769,0.5478999340982059,1.4447561826638138,0.14915420355879985,0.1177056195104955,0.19417715575443406,0.8704381115876924,0.8163415150379362,0.9170955068130786,17,10,26.049999999999955,19,12,30,30.982664790285597,18.040024902047286,51.984907024398304,0.9,median,qi,1997,Groundhog,Reference
15,26,0.9575585540691498,0.5974858361232436,1.5368544963952686,0.1611728502122872,0.11771175328127718,0.21621072084672968,0.8436777646658992,0.7715919347140948,0.9025029601578166,17,10,25,19,12,27,29.8470622960847,18.295807502404607,48.7077568457918,0.9,median,qi,1998,Groundhog,Reference
15,27,0.8864727836210211,0.5623786665790472,1.4143792957736925,0.17356273861530885,0.13473762726163938,0.22085842957695104,0.834733442285709,0.7610186188041308,0.8965146889610324,16,11,21,17,13,23,25.57439538649138,23.691565873141982,33.487127364059916,0.9,median,qi,1999,Groundhog,Reference
15,28,1.0010738265763932,0.6224797033266456,1.6254879235573108,0.18555348652110237,0.13518868961350317,0.2513899988522464,0.8462293429263144,0.7601429933867482,0.9134300154723676,15,10,20,17,11,23.049999999999955,26.88958102228596,16.108801357975544,43.16808000282402,0.9,median,qi,2000,Groundhog,Reference
15,29,1.0065571274769316,0.6193380784408364,1.723092815924151,0.2494462011833914,0.18349396329990486,0.3250978579980649,0.84385848660556,0.7599156176421237,0.9118130632532233,14,9,20,17,11,24,27.061301640239883,16.57343191586315,45.80294804746051,0.9,median,qi,2001,Groundhog,Reference
15,30,0.9425784169376477,0.5794826581595504,1.5481915849633954,0.19581867764158278,0.15487280747044344,0.2434922625058886,0.8061908775515043,0.6968784328035668,0.8883674931749198,14,9,20,16,10,23,25.903914505212235,15.560143693878919,41.91328623728986,0.9,median,qi,2002,Groundhog,Reference
15,31,0.8949699669395201,0.5388216071201818,1.4722369705035223,0.1632254276564849,0.11590002155020165,0.22297642515029828,0.8408189662956609,0.7484885422969295,0.9041131333361649,13,8,19,14,9,21,23.43186917294487,13.18666547001407,38.43187328818563,0.9,median,qi,2003,Groundhog,Reference
15,32,0.9790917068174021,0.585665169411914,1.6740647875964392,0.21669206670027533,0.16942292452758453,0.2712740942348855,0.8355623949585809,0.7532572607102032,0.9002882401945577,12,8,18,14,9,21,23.211172420991332,13.672133311213809,37.12832758764438,0.9,median,qi,2004,Groundhog,Reference
15,33,1.0012017485988491,0.599832685824927,1.6249201783226748,0.23887816260499295,0.19327872717810501,0.29493372070211277,0.8694407855022521,0.8017912156107134,0.9258323127082015,12,8,17,14,10,20,22.93118407600966,14.43883562100061,35.27378627535856,0.9,median,qi,2005,Groundhog,Reference
15,34,1.094751768454766,0.7128728877100596,1.760099059554337,0.23592022980102423,0.19218724295525,0.2860120311929008,0.8784042569626225,0.8028671951750185,0.9352510302330816,12,9,17,15,11,18,24.607768327692792,22.673471167310403,30.41450810506489,0.9,median,qi,2006,Groundhog,Reference
15,35,0.8898332392706697,0.5965967510980015,1.3225398017531325,0.18662189477070618,0.1418716456442212,0.24301433308593481,0.8627586289572731,0.7845661830231998,0.9215856555910523,13,9,16,14,10,18,22.218923640346393,14.790622516956287,33.51815537837851,0.9,median,qi,2007,Groundhog,Reference
15,36,1.0652627419513685,0.7152653687599789,1.6112871321069597,0.15929092401879313,0.1224493081005076,0.2020520389625816,0.877151852460955,0.8157733303993864,0.9297867865894436,12,9,15,13,10,16,23.424974531775646,22.57962958413858,26.49502973182532,0.9,median,qi,2008,Groundhog,Reference
15,37,0.7108080551761842,0.46310968292800114,1.0756944631879795,0.1559583912970121,0.11126369454581636,0.21003893043103278,0.8328808930143494,0.7331930671651515,0.9050482441046739,10,7,14,11,8,15,17.06880053304794,11.103290038654684,25.632604494378846,0.9,median,qi,2009,Groundhog,Reference
