herd,year,est,sd
Itcha-Ilgachuz,2018,0.9666666666666667,0.0327730693416725
Itcha-Ilgachuz,2019,0.8846153846153847,0.06265626800161944
Itcha-Ilgachuz,2020,0.7322134387351777,0.09494051722715839
Maligne,2002,1,0.2106736418809535
Maligne,2003,1,0.1307582899224541
Maligne,2004,0.7142857142857143,0.17074694419062766
Maligne,2005,0.75,0.21650635094610965
Maligne,2006,0.75,0.21650635094610965
Maligne,2007,0.6666666666666666,0.2721655269759087
Brazeau,2005,1,0.2238415567818956
Brazeau,2011,1,0.21175286722209063
Brazeau,2012,0.75,0.21650635094610965
Brazeau,2013,0.3333333333333333,0.2721655269759087
Brazeau,2006,0.7291666666666667,0.1649762363639528
Brazeau,2007,0.6666666666666667,0.1924500897298753
Brazeau,2008,0.6666666666666667,0.1924500897298753
Brazeau,2009,0.75,0.21650635094610965
Brazeau,2010,1,0.26841580997967895
Columbia South,1991,1,0.08428771243814151
Columbia South,1992,0.9285714285714286,0.0688302936899594
Columbia South,1993,0.9230769230769231,0.07390530175619406
Columbia South,1994,1,0.08074405821030775
Columbia South,1995,0.8333333333333333,0.10758287072798378
Columbia South,1996,0.9,0.09486832980505137
Columbia South,1997,0.7777777777777777,0.13857990321384966
Columbia South,1998,0.5714285714285715,0.18704390591656495
Columbia South,1999,1,0.15200061684366364
Columbia South,2000,1,0.21877454102294358
Columbia South,2001,0.75,0.21650635094610965
Columbia South,2002,0.5,0.3535533905932738
Columbia South,2003,0.75,0.21650635094610965
Columbia South,2004,0.8333333333333334,0.15214515486254615
Columbia South,2005,0.6,0.21908902300206642
Columbia South,2006,1,0.1758017811805857
Columbia South,2007,1,0.21074594029625077
Columbia South,2008,1,0.26964964890646187
Wells Gray North,1985,0.7222222222222222,0.10557179862029056
Wells Gray North,1986,0.8499999999999999,0.07984359711335655
Wells Gray North,1987,0.7287784679089027,0.09462126037455416
Wells Gray North,1988,0.5,0.15811388300841897
Wells Gray North,1995,0.7298245614035088,0.10353438290081089
Wells Gray North,1996,0.6932773109243697,0.11459783092443514
Wells Gray North,1997,0.7647058823529411,0.10287936849355366
Wells Gray North,1998,0.6923076923076924,0.12800773759043751
Wells Gray North,1999,0.8888888888888888,0.10475656017578482
Wells Gray North,2000,0.8571428571428571,0.13226001425322162
Wells Gray North,2001,0.8333333333333334,0.15214515486254615
Wells Gray North,2002,1,0.0706873814026454
Wells Gray North,2003,0.9090909090909091,0.08667841720414475
Wells Gray North,2004,1,0.10391584193908805
Wells Gray North,2005,0.8888888888888888,0.10475656017578482
Wells Gray North,1984,0.7105263157894737,0.10951630922247245
Wells Gray North,1983,1,0.0591874606589032
Wells Gray North,1992,1,0.06587842312396358
Wells Gray North,1993,1,0.05212771831250611
Wells Gray North,1994,0.8444444444444443,0.0826349335084118
Wells Gray South,1998,0.8499999999999999,0.07984359711335655
Wells Gray South,1999,1,0.05330800106499418
Wells Gray South,2000,0.8156862745098039,0.0962816703429334
Wells Gray South,2001,0.7692307692307693,0.11685454235580771
Wells Gray South,2002,0.8181818181818181,0.11629129983033294
Wells Gray South,2003,0.7999999999999999,0.12649110640673517
Wells Gray South,2004,0.6136363636363635,0.152632331027312
Wells Gray South,2005,0.8333333333333334,0.15214515486254615
Wells Gray South,2006,1,0.13107038090611167
Wells Gray South,2007,1,0.12903019665485926
Wells Gray South,1985,1,0.044503449341419754
Wells Gray South,1986,0.9130434782608696,0.058753384755841416
Wells Gray South,1987,0.8636363636363635,0.07316500499845359
Wells Gray South,1988,1,0.05533869363283034
Wells Gray South,2008,1,0.2846049894151529
Wells Gray South,1996,0.8,0.17888543819998318
Wells Gray South,1997,0.9545454545454546,0.04440947367810884
