herd,year,treatment,applied,intensity
Duncan,1992,feed,NA,NA
Duncan,1993,feed,NA,NA
Duncan,1994,feed,0,NA
Duncan,1995,feed,0,NA
Duncan,1996,feed,0,NA
Duncan,1997,feed,0,NA
Duncan,1998,feed,0,NA
Duncan,1999,feed,0,NA
Duncan,2000,feed,0,NA
Duncan,2001,feed,0,NA
Duncan,2002,feed,0,NA
Duncan,2003,feed,0,NA
Duncan,2004,feed,0,NA
Duncan,2005,feed,0,NA
Duncan,2006,feed,0,NA
Duncan,2007,feed,0,NA
Duncan,2008,feed,0,NA
Duncan,2009,feed,0,NA
Duncan,2010,feed,0,NA
Duncan,2011,feed,0,NA
Duncan,2012,feed,0,NA
Duncan,2013,feed,0,NA
Duncan,2014,feed,0,NA
Duncan,2015,feed,0,NA
Duncan,2016,feed,0,NA
Duncan,2017,feed,0,NA
Duncan,2018,feed,0,NA
Duncan,2019,feed,0,NA
Duncan,2020,feed,0,NA
Duncan,2021,feed,0,NA
Duncan,2022,feed,0,NA
Duncan,2023,feed,0,NA
Frisby-Boulder,1973,reduce moose,NA,NA
Frisby-Boulder,1974,reduce moose,NA,NA
Frisby-Boulder,1975,reduce moose,NA,NA
Frisby-Boulder,1976,reduce moose,NA,NA
Frisby-Boulder,1977,reduce moose,NA,NA
Frisby-Boulder,1978,reduce moose,NA,NA
Frisby-Boulder,1979,reduce moose,NA,NA
Frisby-Boulder,1980,reduce moose,NA,NA
Frisby-Boulder,1981,reduce moose,NA,NA
Frisby-Boulder,1982,reduce moose,NA,NA
Frisby-Boulder,1983,reduce moose,NA,NA
Frisby-Boulder,1984,reduce moose,NA,NA
Frisby-Boulder,1985,reduce moose,NA,NA
Frisby-Boulder,1986,reduce moose,NA,NA
Frisby-Boulder,1987,reduce moose,NA,NA
Frisby-Boulder,1988,reduce moose,NA,NA
Frisby-Boulder,1989,reduce moose,NA,NA
Frisby-Boulder,1990,reduce moose,NA,NA
Frisby-Boulder,1991,reduce moose,NA,NA
Frisby-Boulder,1992,reduce moose,NA,NA
Frisby-Boulder,1993,reduce moose,NA,NA
Frisby-Boulder,1994,reduce moose,0,NA
Frisby-Boulder,1995,reduce moose,0,NA
Frisby-Boulder,1996,reduce moose,0,NA
Frisby-Boulder,1997,reduce moose,0,NA
Frisby-Boulder,1998,reduce moose,0,NA
Frisby-Boulder,1999,reduce moose,0,NA
Frisby-Boulder,2000,reduce moose,0,NA
Frisby-Boulder,2001,reduce moose,0,NA
Frisby-Boulder,2002,reduce moose,0,NA
Frisby-Boulder,2003,reduce moose,0,NA
Frisby-Boulder,2004,reduce moose,0,NA
Frisby-Boulder,2005,reduce moose,1,NA
Frisby-Boulder,2006,reduce moose,1,NA
Frisby-Boulder,2007,reduce moose,1,NA
Frisby-Boulder,2008,reduce moose,1,NA
Frisby-Boulder,2009,reduce moose,1,NA
Frisby-Boulder,2010,reduce moose,1,NA
Frisby-Boulder,2011,reduce moose,1,NA
Frisby-Boulder,2012,reduce moose,1,NA
Frisby-Boulder,2013,reduce moose,1,NA
Frisby-Boulder,2014,reduce moose,1,NA
Frisby-Boulder,2015,reduce moose,1,NA
Frisby-Boulder,2016,reduce moose,1,NA
Frisby-Boulder,2017,reduce moose,1,NA
Frisby-Boulder,2018,reduce moose,1,NA
Frisby-Boulder,2019,reduce moose,1,NA
Frisby-Boulder,2020,reduce moose,1,NA
Frisby-Boulder,2021,reduce moose,1,NA
Frisby-Boulder,2022,reduce moose,1,NA
Frisby-Boulder,2023,reduce moose,1,NA
Frisby-Boulder,1973,reduce wolves,NA,NA
Frisby-Boulder,1974,reduce wolves,NA,NA
Frisby-Boulder,1975,reduce wolves,NA,NA
Frisby-Boulder,1976,reduce wolves,NA,NA
Frisby-Boulder,1977,reduce wolves,NA,NA
Frisby-Boulder,1978,reduce wolves,NA,NA
Frisby-Boulder,1979,reduce wolves,NA,NA
Frisby-Boulder,1980,reduce wolves,NA,NA
Frisby-Boulder,1981,reduce wolves,NA,NA
Frisby-Boulder,1982,reduce wolves,NA,NA
Frisby-Boulder,1983,reduce wolves,NA,NA
Frisby-Boulder,1984,reduce wolves,NA,NA
Frisby-Boulder,1985,reduce wolves,NA,NA
Frisby-Boulder,1986,reduce wolves,NA,NA
Frisby-Boulder,1987,reduce wolves,NA,NA
Frisby-Boulder,1988,reduce wolves,NA,NA
Frisby-Boulder,1989,reduce wolves,NA,NA
Frisby-Boulder,1990,reduce wolves,NA,NA
Frisby-Boulder,1991,reduce wolves,NA,NA
Frisby-Boulder,1992,reduce wolves,NA,NA
Frisby-Boulder,1993,reduce wolves,NA,NA
Frisby-Boulder,1994,reduce wolves,0,NA
Frisby-Boulder,1995,reduce wolves,0,NA
Frisby-Boulder,1996,reduce wolves,0,NA
Frisby-Boulder,1997,reduce wolves,0,NA
Frisby-Boulder,1998,reduce wolves,0,NA
Frisby-Boulder,1999,reduce wolves,0,NA
Frisby-Boulder,2000,reduce wolves,0,NA
Frisby-Boulder,2001,reduce wolves,0,NA
Frisby-Boulder,2002,reduce wolves,0,NA
Frisby-Boulder,2003,reduce wolves,0,NA
Frisby-Boulder,2004,reduce wolves,0,NA
Frisby-Boulder,2005,reduce wolves,0,NA
Frisby-Boulder,2006,reduce wolves,0,NA
Frisby-Boulder,2007,reduce wolves,0,NA
Frisby-Boulder,2008,reduce wolves,0,NA
Frisby-Boulder,2009,reduce wolves,0,NA
Frisby-Boulder,2010,reduce wolves,0,NA
Frisby-Boulder,2011,reduce wolves,0,NA
Frisby-Boulder,2012,reduce wolves,0,NA
Frisby-Boulder,2013,reduce wolves,0,NA
Frisby-Boulder,2014,reduce wolves,0,NA
Frisby-Boulder,2015,reduce wolves,0,NA
Frisby-Boulder,2016,reduce wolves,0,NA
Frisby-Boulder,2017,reduce wolves,0,NA
Frisby-Boulder,2018,reduce wolves,0,NA
Frisby-Boulder,2019,reduce wolves,0,NA
Frisby-Boulder,2020,reduce wolves,0,NA
Frisby-Boulder,2021,reduce wolves,0,NA
Frisby-Boulder,2022,reduce wolves,0,NA
Frisby-Boulder,2023,reduce wolves,0,NA
Frisby-Boulder,1973,sterilize wolves,NA,NA
Frisby-Boulder,1974,sterilize wolves,NA,NA
Frisby-Boulder,1975,sterilize wolves,NA,NA
Frisby-Boulder,1976,sterilize wolves,NA,NA
Frisby-Boulder,1977,sterilize wolves,NA,NA
Frisby-Boulder,1978,sterilize wolves,NA,NA
Frisby-Boulder,1979,sterilize wolves,NA,NA
Frisby-Boulder,1980,sterilize wolves,NA,NA
Frisby-Boulder,1981,sterilize wolves,NA,NA
Frisby-Boulder,1982,sterilize wolves,NA,NA
Frisby-Boulder,1983,sterilize wolves,NA,NA
Frisby-Boulder,1984,sterilize wolves,NA,NA
Frisby-Boulder,1985,sterilize wolves,NA,NA
Frisby-Boulder,1986,sterilize wolves,NA,NA
Frisby-Boulder,1987,sterilize wolves,NA,NA
Frisby-Boulder,1988,sterilize wolves,NA,NA
Frisby-Boulder,1989,sterilize wolves,NA,NA
Frisby-Boulder,1990,sterilize wolves,NA,NA
Frisby-Boulder,1991,sterilize wolves,NA,NA
Frisby-Boulder,1992,sterilize wolves,NA,NA
Frisby-Boulder,1993,sterilize wolves,NA,NA
Frisby-Boulder,1994,sterilize wolves,0,NA
Frisby-Boulder,1995,sterilize wolves,0,NA
Frisby-Boulder,1996,sterilize wolves,0,NA
Frisby-Boulder,1997,sterilize wolves,0,NA
Frisby-Boulder,1998,sterilize wolves,0,NA
Frisby-Boulder,1999,sterilize wolves,0,NA
Frisby-Boulder,2000,sterilize wolves,0,NA
Frisby-Boulder,2001,sterilize wolves,0,NA
Frisby-Boulder,2002,sterilize wolves,0,NA
Frisby-Boulder,2003,sterilize wolves,0,NA
Frisby-Boulder,2004,sterilize wolves,0,NA
Frisby-Boulder,2005,sterilize wolves,0,NA
Frisby-Boulder,2006,sterilize wolves,0,NA
Frisby-Boulder,2007,sterilize wolves,0,NA
Frisby-Boulder,2008,sterilize wolves,0,NA
Frisby-Boulder,2009,sterilize wolves,0,NA
Frisby-Boulder,2010,sterilize wolves,0,NA
Frisby-Boulder,2011,sterilize wolves,0,NA
Frisby-Boulder,2012,sterilize wolves,0,NA
Frisby-Boulder,2013,sterilize wolves,0,NA
Frisby-Boulder,2014,sterilize wolves,0,NA
Frisby-Boulder,2015,sterilize wolves,0,NA
Frisby-Boulder,2016,sterilize wolves,0,NA
Frisby-Boulder,2017,sterilize wolves,0,NA
Frisby-Boulder,2018,sterilize wolves,0,NA
Frisby-Boulder,2019,sterilize wolves,0,NA
Frisby-Boulder,2020,sterilize wolves,0,NA
Frisby-Boulder,2021,sterilize wolves,0,NA
Frisby-Boulder,2022,sterilize wolves,0,NA
Frisby-Boulder,2023,sterilize wolves,0,NA
Frisby-Boulder,1973,transplant,NA,NA
Frisby-Boulder,1974,transplant,NA,NA
Frisby-Boulder,1975,transplant,NA,NA
Frisby-Boulder,1976,transplant,NA,NA
Frisby-Boulder,1977,transplant,NA,NA
Frisby-Boulder,1978,transplant,NA,NA
Frisby-Boulder,1979,transplant,NA,NA
Frisby-Boulder,1980,transplant,NA,NA
Frisby-Boulder,1981,transplant,NA,NA
Frisby-Boulder,1982,transplant,NA,NA
Frisby-Boulder,1983,transplant,NA,NA
Frisby-Boulder,1984,transplant,NA,NA
Frisby-Boulder,1985,transplant,NA,NA
Frisby-Boulder,1986,transplant,NA,NA
Frisby-Boulder,1987,transplant,NA,NA
Frisby-Boulder,1988,transplant,NA,NA
Frisby-Boulder,1989,transplant,NA,NA
Frisby-Boulder,1990,transplant,NA,NA
Frisby-Boulder,1991,transplant,NA,NA
Frisby-Boulder,1992,transplant,NA,NA
Frisby-Boulder,1993,transplant,NA,NA
Frisby-Boulder,1994,transplant,0,NA
Frisby-Boulder,1995,transplant,0,NA
Frisby-Boulder,1996,transplant,0,NA
Frisby-Boulder,1997,transplant,0,NA
Frisby-Boulder,1998,transplant,0,NA
Frisby-Boulder,1999,transplant,0,NA
Frisby-Boulder,2000,transplant,0,NA
Frisby-Boulder,2001,transplant,0,NA
Frisby-Boulder,2002,transplant,0,NA
Frisby-Boulder,2003,transplant,0,NA
Frisby-Boulder,2004,transplant,0,NA
Frisby-Boulder,2005,transplant,0,NA
Frisby-Boulder,2006,transplant,0,NA
Frisby-Boulder,2007,transplant,0,NA
Frisby-Boulder,2008,transplant,0,NA
Frisby-Boulder,2009,transplant,0,NA
Frisby-Boulder,2010,transplant,0,NA
Frisby-Boulder,2011,transplant,0,NA
Frisby-Boulder,2012,transplant,0,NA
Frisby-Boulder,2013,transplant,0,NA
Frisby-Boulder,2014,transplant,0,NA
Frisby-Boulder,2015,transplant,0,NA
Frisby-Boulder,2016,transplant,0,NA
Frisby-Boulder,2017,transplant,0,NA
Frisby-Boulder,2018,transplant,0,NA
Frisby-Boulder,2019,transplant,0,NA
Frisby-Boulder,2020,transplant,0,NA
Frisby-Boulder,2021,transplant,0,NA
Frisby-Boulder,2022,transplant,0,NA
Frisby-Boulder,2023,transplant,0,NA
Frisby-Boulder,1973,pen,NA,NA
Frisby-Boulder,1974,pen,NA,NA
Frisby-Boulder,1975,pen,NA,NA
Frisby-Boulder,1976,pen,NA,NA
Frisby-Boulder,1977,pen,NA,NA
Frisby-Boulder,1978,pen,NA,NA
Frisby-Boulder,1979,pen,NA,NA
Frisby-Boulder,1980,pen,NA,NA
Frisby-Boulder,1981,pen,NA,NA
Frisby-Boulder,1982,pen,NA,NA
Frisby-Boulder,1983,pen,NA,NA
Frisby-Boulder,1984,pen,NA,NA
Frisby-Boulder,1985,pen,NA,NA
Frisby-Boulder,1986,pen,NA,NA
Frisby-Boulder,1987,pen,NA,NA
Frisby-Boulder,1988,pen,NA,NA
Frisby-Boulder,1989,pen,NA,NA
Frisby-Boulder,1990,pen,NA,NA
Frisby-Boulder,1991,pen,NA,NA
Frisby-Boulder,1992,pen,NA,NA
Frisby-Boulder,1993,pen,NA,NA
Frisby-Boulder,1994,pen,0,NA
Frisby-Boulder,1995,pen,0,NA
Frisby-Boulder,1996,pen,0,NA
Frisby-Boulder,1997,pen,0,NA
Frisby-Boulder,1998,pen,0,NA
Frisby-Boulder,1999,pen,0,NA
Frisby-Boulder,2000,pen,0,NA
Frisby-Boulder,2001,pen,0,NA
Frisby-Boulder,2002,pen,0,NA
Frisby-Boulder,2003,pen,0,NA
Frisby-Boulder,2004,pen,0,NA
Frisby-Boulder,2005,pen,0,NA
Frisby-Boulder,2006,pen,0,NA
Frisby-Boulder,2007,pen,0,NA
Frisby-Boulder,2008,pen,0,NA
Frisby-Boulder,2009,pen,0,NA
Frisby-Boulder,2010,pen,0,NA
Frisby-Boulder,2011,pen,0,NA
Frisby-Boulder,2012,pen,0,NA
Frisby-Boulder,2013,pen,0,NA
Frisby-Boulder,2014,pen,0,NA
Frisby-Boulder,2015,pen,0,NA
Frisby-Boulder,2016,pen,0,NA
Frisby-Boulder,2017,pen,0,NA
Frisby-Boulder,2018,pen,0,NA
Frisby-Boulder,2019,pen,0,NA
Frisby-Boulder,2020,pen,0,NA
Frisby-Boulder,2021,pen,0,NA
Frisby-Boulder,2022,pen,0,NA
Frisby-Boulder,2023,pen,0,NA
Frisby-Boulder,1973,feed,NA,NA
Frisby-Boulder,1974,feed,NA,NA
Frisby-Boulder,1975,feed,NA,NA
Frisby-Boulder,1976,feed,NA,NA
Frisby-Boulder,1977,feed,NA,NA
Frisby-Boulder,1978,feed,NA,NA
Frisby-Boulder,1979,feed,NA,NA
Frisby-Boulder,1980,feed,NA,NA
Frisby-Boulder,1981,feed,NA,NA
Frisby-Boulder,1982,feed,NA,NA
Frisby-Boulder,1983,feed,NA,NA
Frisby-Boulder,1984,feed,NA,NA
Frisby-Boulder,1985,feed,NA,NA
Frisby-Boulder,1986,feed,NA,NA
Frisby-Boulder,1987,feed,NA,NA
Frisby-Boulder,1988,feed,NA,NA
Frisby-Boulder,1989,feed,NA,NA
Frisby-Boulder,1990,feed,NA,NA
Frisby-Boulder,1991,feed,NA,NA
Frisby-Boulder,1992,feed,NA,NA
Frisby-Boulder,1993,feed,NA,NA
Frisby-Boulder,1994,feed,0,NA
Frisby-Boulder,1995,feed,0,NA
Frisby-Boulder,1996,feed,0,NA
Frisby-Boulder,1997,feed,0,NA
Frisby-Boulder,1998,feed,0,NA
Frisby-Boulder,1999,feed,0,NA
Frisby-Boulder,2000,feed,0,NA
Frisby-Boulder,2001,feed,0,NA
Frisby-Boulder,2002,feed,0,NA
Frisby-Boulder,2003,feed,0,NA
Frisby-Boulder,2004,feed,0,NA
Frisby-Boulder,2005,feed,0,NA
Frisby-Boulder,2006,feed,0,NA
Frisby-Boulder,2007,feed,0,NA
Frisby-Boulder,2008,feed,0,NA
Frisby-Boulder,2009,feed,0,NA
Frisby-Boulder,2010,feed,0,NA
Frisby-Boulder,2011,feed,0,NA
Frisby-Boulder,2012,feed,0,NA
Frisby-Boulder,2013,feed,0,NA
Frisby-Boulder,2014,feed,0,NA
Frisby-Boulder,2015,feed,0,NA
Frisby-Boulder,2016,feed,0,NA
Frisby-Boulder,2017,feed,0,NA
Frisby-Boulder,2018,feed,0,NA
Frisby-Boulder,2019,feed,0,NA
Frisby-Boulder,2020,feed,0,NA
Frisby-Boulder,2021,feed,0,NA
Frisby-Boulder,2022,feed,0,NA
Frisby-Boulder,2023,feed,0,NA
George Mountain,1973,reduce wolves,NA,NA
George Mountain,1974,reduce wolves,NA,NA
George Mountain,1975,reduce wolves,NA,NA
George Mountain,1976,reduce wolves,NA,NA
George Mountain,1977,reduce wolves,NA,NA
George Mountain,1978,reduce wolves,NA,NA
George Mountain,1979,reduce wolves,NA,NA
George Mountain,1980,reduce wolves,NA,NA
George Mountain,1981,reduce wolves,NA,NA
George Mountain,1982,reduce wolves,NA,NA
George Mountain,1983,reduce wolves,NA,NA
George Mountain,1984,reduce wolves,NA,NA
George Mountain,1985,reduce wolves,NA,NA
George Mountain,1986,reduce wolves,NA,NA
George Mountain,1987,reduce wolves,NA,NA
George Mountain,1988,reduce wolves,NA,NA
George Mountain,1989,reduce wolves,NA,NA
George Mountain,1990,reduce wolves,NA,NA
George Mountain,1991,reduce wolves,NA,NA
George Mountain,1992,reduce wolves,NA,NA
George Mountain,1993,reduce wolves,0,NA
George Mountain,1994,reduce wolves,0,NA
George Mountain,1995,reduce wolves,0,NA
George Mountain,1996,reduce wolves,0,NA
George Mountain,1997,reduce wolves,0,NA
George Mountain,1998,reduce wolves,0,NA
George Mountain,1999,reduce wolves,0,NA
George Mountain,2000,reduce wolves,0,NA
George Mountain,2001,reduce wolves,0,NA
George Mountain,2002,reduce wolves,0,NA
George Mountain,2003,reduce wolves,0,NA
George Mountain,2004,reduce wolves,0,NA
George Mountain,2005,reduce wolves,0,NA
George Mountain,2006,reduce wolves,0,NA
George Mountain,2007,reduce wolves,0,NA
George Mountain,2008,reduce wolves,0,NA
George Mountain,2009,reduce wolves,0,NA
George Mountain,2010,reduce wolves,0,NA
George Mountain,2011,reduce wolves,0,NA
George Mountain,2012,reduce wolves,0,NA
George Mountain,2013,reduce wolves,0,NA
George Mountain,2014,reduce wolves,0,NA
George Mountain,2015,reduce wolves,0,NA
George Mountain,2016,reduce wolves,0,NA
George Mountain,2017,reduce wolves,0,NA
George Mountain,2018,reduce wolves,0,NA
George Mountain,2019,reduce wolves,0,NA
George Mountain,2020,reduce wolves,0,NA
George Mountain,2021,reduce wolves,0,NA
George Mountain,2022,reduce wolves,0,NA
George Mountain,2023,reduce wolves,0,NA
George Mountain,1973,sterilize wolves,NA,NA
George Mountain,1974,sterilize wolves,NA,NA
George Mountain,1975,sterilize wolves,NA,NA
George Mountain,1976,sterilize wolves,NA,NA
George Mountain,1977,sterilize wolves,NA,NA
George Mountain,1978,sterilize wolves,NA,NA
George Mountain,1979,sterilize wolves,NA,NA
George Mountain,1980,sterilize wolves,NA,NA
George Mountain,1981,sterilize wolves,NA,NA
George Mountain,1982,sterilize wolves,NA,NA
George Mountain,1983,sterilize wolves,NA,NA
George Mountain,1984,sterilize wolves,NA,NA
George Mountain,1985,sterilize wolves,NA,NA
George Mountain,1986,sterilize wolves,NA,NA
George Mountain,1987,sterilize wolves,NA,NA
George Mountain,1988,sterilize wolves,NA,NA
George Mountain,1989,sterilize wolves,NA,NA
George Mountain,1990,sterilize wolves,NA,NA
George Mountain,1991,sterilize wolves,NA,NA
George Mountain,1992,sterilize wolves,NA,NA
George Mountain,1993,sterilize wolves,0,NA
George Mountain,1994,sterilize wolves,0,NA
George Mountain,1995,sterilize wolves,0,NA
George Mountain,1996,sterilize wolves,0,NA
George Mountain,1997,sterilize wolves,0,NA
George Mountain,1998,sterilize wolves,0,NA
George Mountain,1999,sterilize wolves,0,NA
George Mountain,2000,sterilize wolves,0,NA
George Mountain,2001,sterilize wolves,0,NA
George Mountain,2002,sterilize wolves,0,NA
George Mountain,2003,sterilize wolves,0,NA
George Mountain,2004,sterilize wolves,0,NA
George Mountain,2005,sterilize wolves,0,NA
George Mountain,2006,sterilize wolves,0,NA
George Mountain,2007,sterilize wolves,0,NA
George Mountain,2008,sterilize wolves,0,NA
George Mountain,2009,sterilize wolves,0,NA
George Mountain,2010,sterilize wolves,0,NA
George Mountain,2011,sterilize wolves,0,NA
George Mountain,2012,sterilize wolves,0,NA
George Mountain,2013,sterilize wolves,0,NA
George Mountain,2014,sterilize wolves,0,NA
George Mountain,2015,sterilize wolves,0,NA
George Mountain,2016,sterilize wolves,0,NA
George Mountain,2017,sterilize wolves,0,NA
George Mountain,2018,sterilize wolves,0,NA
George Mountain,2019,sterilize wolves,0,NA
George Mountain,2020,sterilize wolves,0,NA
George Mountain,2021,sterilize wolves,0,NA
George Mountain,2022,sterilize wolves,0,NA
George Mountain,2023,sterilize wolves,0,NA
George Mountain,1973,transplant,NA,NA
George Mountain,1974,transplant,NA,NA
George Mountain,1975,transplant,NA,NA
George Mountain,1976,transplant,NA,NA
George Mountain,1977,transplant,NA,NA
George Mountain,1978,transplant,NA,NA
George Mountain,1979,transplant,NA,NA
George Mountain,1980,transplant,NA,NA
George Mountain,1981,transplant,NA,NA
George Mountain,1982,transplant,NA,NA
George Mountain,1983,transplant,NA,NA
George Mountain,1984,transplant,NA,NA
George Mountain,1985,transplant,NA,NA
George Mountain,1986,transplant,NA,NA
George Mountain,1987,transplant,NA,NA
George Mountain,1988,transplant,NA,NA
George Mountain,1989,transplant,NA,NA
George Mountain,1990,transplant,NA,NA
George Mountain,1991,transplant,NA,NA
George Mountain,1992,transplant,NA,NA
George Mountain,1993,transplant,0,NA
George Mountain,1994,transplant,0,NA
George Mountain,1995,transplant,0,NA
George Mountain,1996,transplant,0,NA
George Mountain,1997,transplant,0,NA
George Mountain,1998,transplant,0,NA
George Mountain,1999,transplant,0,NA
George Mountain,2000,transplant,0,NA
George Mountain,2001,transplant,0,NA
George Mountain,2002,transplant,0,NA
George Mountain,2003,transplant,0,NA
George Mountain,2004,transplant,0,NA
George Mountain,2005,transplant,0,NA
George Mountain,2006,transplant,0,NA
George Mountain,2007,transplant,0,NA
George Mountain,2008,transplant,0,NA
George Mountain,2009,transplant,0,NA
George Mountain,2010,transplant,0,NA
George Mountain,2011,transplant,0,NA
George Mountain,2012,transplant,0,NA
George Mountain,2013,transplant,0,NA
George Mountain,2014,transplant,0,NA
George Mountain,2015,transplant,0,NA
George Mountain,2016,transplant,0,NA
George Mountain,2017,transplant,0,NA
George Mountain,2018,transplant,0,NA
George Mountain,2019,transplant,0,NA
George Mountain,2020,transplant,0,NA
George Mountain,2021,transplant,0,NA
George Mountain,2022,transplant,0,NA
George Mountain,2023,transplant,0,NA
George Mountain,1973,pen,NA,NA
George Mountain,1974,pen,NA,NA
George Mountain,1975,pen,NA,NA
George Mountain,1976,pen,NA,NA
George Mountain,1977,pen,NA,NA
George Mountain,1978,pen,NA,NA
George Mountain,1979,pen,NA,NA
George Mountain,1980,pen,NA,NA
George Mountain,1981,pen,NA,NA
George Mountain,1982,pen,NA,NA
George Mountain,1983,pen,NA,NA
George Mountain,1984,pen,NA,NA
George Mountain,1985,pen,NA,NA
George Mountain,1986,pen,NA,NA
George Mountain,1987,pen,NA,NA
George Mountain,1988,pen,NA,NA
George Mountain,1989,pen,NA,NA
George Mountain,1990,pen,NA,NA
George Mountain,1991,pen,NA,NA
George Mountain,1992,pen,NA,NA
George Mountain,1993,pen,0,NA
George Mountain,1994,pen,0,NA
George Mountain,1995,pen,0,NA
George Mountain,1996,pen,0,NA
George Mountain,1997,pen,0,NA
George Mountain,1998,pen,0,NA
George Mountain,1999,pen,0,NA
George Mountain,2000,pen,0,NA
George Mountain,2001,pen,0,NA
George Mountain,2002,pen,0,NA
George Mountain,2003,pen,0,NA
George Mountain,2004,pen,0,NA
George Mountain,2005,pen,0,NA
George Mountain,2006,pen,0,NA
George Mountain,2007,pen,0,NA
George Mountain,2008,pen,0,NA
George Mountain,2009,pen,0,NA
George Mountain,2010,pen,0,NA
George Mountain,2011,pen,0,NA
George Mountain,2012,pen,0,NA
George Mountain,2013,pen,0,NA
George Mountain,2014,pen,0,NA
George Mountain,2015,pen,0,NA
George Mountain,2016,pen,0,NA
George Mountain,2017,pen,0,NA
George Mountain,2018,pen,0,NA
George Mountain,2019,pen,0,NA
George Mountain,2020,pen,0,NA
George Mountain,2021,pen,0,NA
George Mountain,2022,pen,0,NA
George Mountain,2023,pen,0,NA
George Mountain,1973,reduce moose,NA,NA
George Mountain,1974,reduce moose,NA,NA
George Mountain,1975,reduce moose,NA,NA
George Mountain,1976,reduce moose,NA,NA
George Mountain,1977,reduce moose,NA,NA
George Mountain,1978,reduce moose,NA,NA
George Mountain,1979,reduce moose,NA,NA
George Mountain,1980,reduce moose,NA,NA
George Mountain,1981,reduce moose,NA,NA
George Mountain,1982,reduce moose,NA,NA
George Mountain,1983,reduce moose,NA,NA
George Mountain,1984,reduce moose,NA,NA
George Mountain,1985,reduce moose,NA,NA
George Mountain,1986,reduce moose,NA,NA
George Mountain,1987,reduce moose,NA,NA
George Mountain,1988,reduce moose,NA,NA
George Mountain,1989,reduce moose,NA,NA
George Mountain,1990,reduce moose,NA,NA
George Mountain,1991,reduce moose,NA,NA
George Mountain,1992,reduce moose,NA,NA
George Mountain,1993,reduce moose,0,NA
George Mountain,1994,reduce moose,0,NA
George Mountain,1995,reduce moose,0,NA
George Mountain,1996,reduce moose,0,NA
George Mountain,1997,reduce moose,0,NA
George Mountain,1998,reduce moose,0,NA
George Mountain,1999,reduce moose,0,NA
George Mountain,2000,reduce moose,0,NA
George Mountain,2001,reduce moose,0,NA
George Mountain,2002,reduce moose,0,NA
George Mountain,2003,reduce moose,0,NA
George Mountain,2004,reduce moose,0,NA
George Mountain,2005,reduce moose,0,NA
George Mountain,2006,reduce moose,0,NA
George Mountain,2007,reduce moose,0,NA
George Mountain,2008,reduce moose,0,NA
George Mountain,2009,reduce moose,0,NA
George Mountain,2010,reduce moose,0,NA
George Mountain,2011,reduce moose,0,NA
George Mountain,2012,reduce moose,0,NA
George Mountain,2013,reduce moose,0,NA
George Mountain,2014,reduce moose,0,NA
George Mountain,2015,reduce moose,0,NA
George Mountain,2016,reduce moose,0,NA
George Mountain,2017,reduce moose,0,NA
George Mountain,2018,reduce moose,0,NA
George Mountain,2019,reduce moose,0,NA
George Mountain,2020,reduce moose,0,NA
George Mountain,2021,reduce moose,0,NA
George Mountain,2022,reduce moose,0,NA
George Mountain,2023,reduce moose,0,NA
George Mountain,1973,feed,NA,NA
George Mountain,1974,feed,NA,NA
George Mountain,1975,feed,NA,NA
George Mountain,1976,feed,NA,NA
George Mountain,1977,feed,NA,NA
George Mountain,1978,feed,NA,NA
George Mountain,1979,feed,NA,NA
George Mountain,1980,feed,NA,NA
George Mountain,1981,feed,NA,NA
George Mountain,1982,feed,NA,NA
George Mountain,1983,feed,NA,NA
George Mountain,1984,feed,NA,NA
George Mountain,1985,feed,NA,NA
George Mountain,1986,feed,NA,NA
George Mountain,1987,feed,NA,NA
George Mountain,1988,feed,NA,NA
George Mountain,1989,feed,NA,NA
George Mountain,1990,feed,NA,NA
George Mountain,1991,feed,NA,NA
George Mountain,1992,feed,NA,NA
George Mountain,1993,feed,0,NA
George Mountain,1994,feed,0,NA
George Mountain,1995,feed,0,NA
George Mountain,1996,feed,0,NA
George Mountain,1997,feed,0,NA
George Mountain,1998,feed,0,NA
George Mountain,1999,feed,0,NA
George Mountain,2000,feed,0,NA
George Mountain,2001,feed,0,NA
George Mountain,2002,feed,0,NA
George Mountain,2003,feed,0,NA
George Mountain,2004,feed,0,NA
George Mountain,2005,feed,0,NA
George Mountain,2006,feed,0,NA
George Mountain,2007,feed,0,NA
George Mountain,2008,feed,0,NA
George Mountain,2009,feed,0,NA
George Mountain,2010,feed,0,NA
George Mountain,2011,feed,0,NA
George Mountain,2012,feed,0,NA
George Mountain,2013,feed,0,NA
George Mountain,2014,feed,0,NA
George Mountain,2015,feed,0,NA
George Mountain,2016,feed,0,NA
George Mountain,2017,feed,0,NA
George Mountain,2018,feed,0,NA
George Mountain,2019,feed,0,NA
George Mountain,2020,feed,0,NA
George Mountain,2021,feed,0,NA
George Mountain,2022,feed,0,NA
George Mountain,2023,feed,0,NA
Graham,1973,reduce wolves,NA,NA
Graham,1974,reduce wolves,NA,NA
Graham,1975,reduce wolves,NA,NA
Graham,1976,reduce wolves,NA,NA
Graham,1977,reduce wolves,NA,NA
Graham,1978,reduce wolves,NA,NA
Graham,1979,reduce wolves,NA,NA
Graham,1980,reduce wolves,NA,NA
Graham,1981,reduce wolves,NA,NA
Graham,1982,reduce wolves,NA,NA
Graham,1983,reduce wolves,NA,NA
Graham,1984,reduce wolves,NA,NA
Graham,1985,reduce wolves,NA,NA
