herd,year,count,Sightability,sd,MinUsed,Est_CL,Est_CL.min,Est_CL.max
Itcha-Ilgachuz,2018,473,0.7368421052631579,0.0714337781619259,0,641.9285714285714,553.6437773754419,763.7109668618604
Itcha-Ilgachuz,2017,451,NA,NA,0,559.1885336633701,485.1236489509975,659.9435543110153
Itcha-Ilgachuz,2014,685,0.4782608695652174,0.10415861863104658,0,1432.2727272727273,1054.517519042976,2231.738763852923
Itcha-Ilgachuz,2012,1003,0.59375,0.08682074519880027,0,1689.2631578947369,1361.7409923392142,2224.22840252044
Itcha-Ilgachuz,2010,1367,NA,NA,0,1694.9240033654698,1470.4302175521366,2000.3167156167583
Itcha-Ilgachuz,2009,2093,NA,NA,0,2595.081155116261,2251.360969522035,3062.664876214978
Itcha-Ilgachuz,2007,1784,NA,NA,0,2211.9564169743953,1918.98135194807,2610.508427695901
Itcha-Ilgachuz,2003,2861,0.6363636363636364,0.14504073367590284,0,4495.857142857143,3269.9613559579166,7192.175897674504
Itcha-Ilgachuz,2002,2862,0.8571428571428571,0.09352195295828246,0,3339,2830.9377017725924,4069.310377901557
Itcha-Ilgachuz,2001,2051,0.7894736842105263,0.09352877017248827,0,2597.9333333333334,2174.2483970179883,3226.7052936729165
Itcha-Ilgachuz,2000,2167,0.7142857142857143,0.0985807941917649,0,3033.7999999999997,2472.5127392530476,3924.764101726563
Itcha-Ilgachuz,1999,1754,0.7727272727272727,0.08934606739851096,0,2269.8823529411766,1907.168203462496,2802.962922699811
Itcha-Ilgachuz,1998,2121,0.7894736842105263,0.09352877017248827,0,2686.6,2248.4548269503425,3336.8317542078285
Itcha-Ilgachuz,1997,1689,0.8947368421052632,0.07040590042736196,0,1887.7058823529412,1671.377021703715,2168.360003433241
Itcha-Ilgachuz,1996,1327,0.6190476190476191,0.10597116957413082,0,2143.6153846153848,1672.6448756626958,2983.759484098167
Itcha-Ilgachuz,1995,1321,NA,NA,0,1637.8892527035741,1420.9497566835205,1933.0053996559895
Itcha-Ilgachuz,1994,1136,NA,NA,0,1408.5103641720364,1221.9522510162599,1662.2968463355064
Itcha-Ilgachuz,1992,1194,NA,NA,0,1480.4237454413833,1284.340658198428,1747.1676360251715
Itcha-Ilgachuz,1991,1408,NA,NA,0,1745.7593246075944,1514.5323674567726,2060.311584190487
Itcha-Ilgachuz,1990,1215,NA,NA,0,1506.4613490044228,1306.929564247144,1777.8967150507399
Itcha-Ilgachuz,1989,1162,NA,NA,0,1440.747397154847,1249.9194680289559,1700.342372748115
Itcha-Ilgachuz,1987,933,0.6153846153846154,0.1349320029703122,0,1516.125,1114.2593276713592,2371.380500789305
Itcha-Ilgachuz,1986,929,0.6428571428571429,0.12806020814297073,0,1445.111111111111,1088.4631415019,2149.381756805055
Itcha-Ilgachuz,1985,985,0.8461538461538461,0.10006825162892168,0,1164.090909090909,974.522798347845,1445.221167759608
Itcha-Ilgachuz,1984,775,NA,NA,0,960.9115600645495,833.6381994169026,1134.0493449912126
Itcha-Ilgachuz,1983,710,NA,NA,0,880.3189776075228,763.7201568851624,1038.9355289596915
Itcha-Ilgachuz,1982,711,NA,NA,0,881.558863491477,764.7958190779584,1040.3988184370996
Quintette,2016,29,0.4666666666666667,0.12881223774390613,0,62.14285714285714,42.73860265282486,113.8192873703133
Kennedy Siding,2021,99,1,0.17343217325144467,0,99,77.02662235880261,138.51382698035403
Kennedy Siding,2020,87,1,0.1042644167463847,0,87,74.26380713813465,105.00896706325976
Kennedy Siding,2019,77,1,0.09538793874939812,0,77,66.55724476689147,91.32949242931744
Kennedy Siding,2018,65,1,0.1043167328197077,0,65,55.48037831622122,78.46312495231734
Kennedy Siding,2017,63,1,0.15044367705767311,0,63,50.50273135483576,83.71617784684912
Kennedy Siding,2016,50,1,0.21917809890369563,0,50,36.75078663050052,78.18792857473393
Kennedy Siding,2015,49,1,0.27782061731721336,0,49,33.631365747993534,90.23496414070313
Kennedy Siding,2012,41,1,0.1127703624834766,0,41,34.58484555898514,50.337032876225614
Kennedy Siding,2011,44,0.99,0.07486035635450085,1,44.44444444444444,39.52803322958847,50.757559877512044
Kennedy Siding,2002,99,NA,NA,0,122.74870251147149,106.49055708680433,144.8656582633936
Klinse-Za,2021,101,1,0.05019266118422889,0,101,93.29742101609055,110.08887099858616
Klinse-Za,2020,85,0.99,0.07486035635450085,1,85.85858585858585,76.36097328443228,98.05437703610282
Klinse-Za,2019,81,0.99,0.07486035635450085,1,81.81818181818181,72.76751571810605,93.44005341087444
Klinse-Za,2018,66,0.99,0.07486035635450085,1,66.66666666666667,59.29204984438271,76.13633981626806
Klinse-Za,2017,61,0.99,0.07486035635450085,1,61.61616161616162,54.80022788647493,70.36843528473261
Klinse-Za,2016,54,0.99,0.07486035635450085,1,54.54545454545455,48.511677145404036,62.293368940582965
Klinse-Za,2015,42,0.99,0.07486035635450085,1,42.42424242424242,37.73130444642536,48.45039806489786
Klinse-Za,2013,36,0.99,0.07486035635450085,1,36.36363636363637,32.34111809693602,41.52891262705531
Klinse-Za,2012,25,1,0.2704856665872737,0,25,17.302135476436046,45.03760764699677
Klinse-Za,1996,220,NA,NA,0,272.7748944699366,236.64568241512075,321.9236850297636
Maligne,2021,0,NA,NA,0,0,0,0
Maligne,2020,0,NA,NA,0,0,0,0
Maligne,2019,0,NA,NA,0,0,0,0
Maligne,2018,0,NA,NA,0,0,0,0
Maligne,2017,3,0.99,0.07486035635450085,1,3.0303030303030303,2.6950931747446685,3.4607427189212756
Maligne,2016,3,1,0,0,3,3,3
Maligne,2015,3,1,0,0,3,3,3
Quintette,2018,49,0.6666666666666666,0.11111111111111112,0,73.5,57.68589311758897,101.25942849270406
Maligne,2014,2,1,0,0,2,2,2
Maligne,2013,5,1,0.3550282313352597,0,5,3.1566290555634664,12.018311666298029
Maligne,2012,6,1,0.3500664887511298,0,6,3.8075732102630995,14.14450044357946
Maligne,2011,6,0.99,0.07486035635450085,1,6.0606060606060606,5.390186349489337,6.921485437842551
Maligne,2009,4,1,0,0,4,4,4
Maligne,2008,4,0.5,0.3535533905932738,0,8,3.698422170151984,-49.05429781779178
