herd,year,est,sd,season_int
Itcha-Ilgachuz,2002,0.18087611869995288,0.007414556982184851,1
Itcha-Ilgachuz,1977,0.2509188924283264,0.03907917984129034,1
Itcha-Ilgachuz,1983,0.27857856429285,0.015291136471824528,1
Itcha-Ilgachuz,2003,0.18068887634105024,0.007500712601547329,1
Itcha-Ilgachuz,1999,0.17316017316017315,0.0075026856523836265,1
Itcha-Ilgachuz,2021,0.19906144275892174,0.02484784619842796,1
Itcha-Ilgachuz,2015,0.045700004462891054,0.013009606524300244,1
Itcha-Ilgachuz,2014,0.06753246753246753,0.00660326126148157,1
Itcha-Ilgachuz,1979,0.41206251375742897,0.02411127524475846,2
Itcha-Ilgachuz,2000,0.16623376623376623,0.007244047329500045,1
Itcha-Ilgachuz,2004,0.09375989863794741,0.016558732128122155,1
Itcha-Ilgachuz,1995,0.1310132625994695,0.009397571571810263,2
Itcha-Ilgachuz,2012,0.09999023532858119,0.008244360520755792,1
Itcha-Ilgachuz,1982,0.7157287157287158,0.02987520878989037,2
Itcha-Ilgachuz,2001,0.15063253898205353,0.007640257951860805,1
Itcha-Ilgachuz,1980,0.07043803653973145,0.017406437208850618,2
Itcha-Ilgachuz,1998,0.12894768782619248,0.006226326577999103,1
Itcha-Ilgachuz,2013,0.07506450856204551,0.011123331869822308,1
Itcha-Ilgachuz,2020,0.0861630516080778,0.020209370867127718,3
Itcha-Ilgachuz,2019,0.11294117647058824,0.014553645542589654,3
Itcha-Ilgachuz,1989,0.3163064833005894,0.01674779316134223,3
Itcha-Ilgachuz,1990,0.37028301886792453,0.014165650948211251,3
Itcha-Ilgachuz,1991,0.3728813559322034,0.013873053204330214,3
Itcha-Ilgachuz,1992,0.26846846846846845,0.011810324772864122,3
Itcha-Ilgachuz,1993,0.3614595210946408,0.013903427860974479,3
Itcha-Ilgachuz,2008,0.31952662721893493,0.011039811814910943,3
Itcha-Ilgachuz,2010,0.2677165354330709,0.009678155544267066,3
Itcha-Ilgachuz,2011,0.3538156590683845,0.012937232706128657,3
Itcha-Ilgachuz,2018,0.3466248037676609,0.02165411907189628,3
Kennedy Siding,1992,0.19423503325942354,0.039253945156268774,1
Kennedy Siding,2003,0.22001527883880823,0.0672787810290903,1
Kennedy Siding,2004,0.12521739130434784,0.04921529567847503,1
Kennedy Siding,2005,0.06926406926406925,0.038327758791991656,1
Kennedy Siding,2006,0.17731601731601732,0.04294415261942241,1
Kennedy Siding,2007,0.13718320514437018,0.0338879922090597,1
Kennedy Siding,2009,0.05936920222634508,0.033248190580402244,1
Kennedy Siding,2010,0.11294117647058823,0.06141195788629908,1
Kennedy Siding,2011,0.0435374149659864,0.03210475535539248,1
Kennedy Siding,2012,0.17142857142857143,0.05885924017778028,1
Kennedy Siding,2013,0.10841332580463015,0.06604821959241304,1
Kennedy Siding,2014,0.0755608028335301,0.08298826628866153,1
Kennedy Siding,2015,0.22164502164502162,0.10145145470035762,1
Kennedy Siding,2016,0.1111111111111111,0.044444444444444446,1
Kennedy Siding,2017,0.3957946815089672,0.0897007761637876,1
Kennedy Siding,2018,0.16071428571428573,0.04555389100693015,1
Kennedy Siding,2019,0.3050847457627119,0.05247238527489041,1
Kennedy Siding,2020,0.14473684210526316,0.037720705104674075,1
Kennedy Siding,2021,0.25316455696202533,0.04370149710357074,1
Klinse-Za,1996,0.08374384236453201,0.01867555660975992,1
Klinse-Za,2002,0.04889228418640183,0.0554593553871802,1
Klinse-Za,2003,0.132987012987013,0.06807703547174106,1
Klinse-Za,2004,0.15584415584415584,0.08954379992642236,1
Klinse-Za,2005,0.26811897779639715,0.07300557488378943,1
Klinse-Za,2006,0.20779220779220778,0.19364916731037085,1
Klinse-Za,2007,0.10389610389610389,0.11023963796102461,1
Klinse-Za,2008,0.19556913674560733,0.06545278120755138,1
Klinse-Za,2009,0.11873840445269015,0.050507627227610534,1
Klinse-Za,2010,0.128,0.06120805589687156,1
Klinse-Za,2011,0.050373868555686735,0.040331825796890444,1
Klinse-Za,2012,0.13636363636363635,0.06863485850246136,1
Klinse-Za,2013,0.11873840445269015,0.12371791482634838,1
Klinse-Za,2014,0.18470418470418468,0.08863600391305174,1
Klinse-Za,2015,0.1385281385281385,0.05750546327852952,1
Klinse-Za,2016,0.16623376623376623,0.054433105395181744,1
Klinse-Za,2017,0.20355155049032597,0.05505927488034983,1
Klinse-Za,2018,0.18470418470418468,0.05117402071909314,1
Klinse-Za,2019,0.13061224489795917,0.04043726731065713,1
Klinse-Za,2020,0.16297428062133942,0.05083429849674551,1
Klinse-Za,2021,0.16091954022988506,0.036563310317951334,1
Maligne,1994,0.3225806451612903,0.07300557488378943,2
Maligne,1997,0.08108108108108109,0.04315870114235489,2
Maligne,1999,0.2830188679245283,0.05462696871176343,2
Maligne,2001,0.17142857142857143,0.05885924017778028,2
Maligne,2002,0.5,0.14433756729740643,2
Maligne,2010,0.3333333333333333,0.23570226039551584,2
Maligne,2006,0.14285714285714285,0.12371791482634838,2
Maligne,2007,0.4,0.1851640199545103,2
Maligne,2008,0,0,2
Maligne,2009,0.3333333333333333,0.23570226039551584,2
Maligne,2013,0.2,0.16329931618554522,2
Maligne,2014,0,0,2
Maligne,2005,0.16666666666666666,0.14085904245475278,2
Maligne,2004,0.26666666666666666,0.10145145470035762,2
Monashee,2002,0,0,1
Monashee,2006,0.16666666666666666,0.14085904245475278,1
Monashee,2004,0.16666666666666666,0.14085904245475278,1
Monashee,1994,0.42857142857142855,0.1564921592871903,1
Monashee,2008,0.25,0.19364916731037085,1
Nakusp,1976,0.4749536178107606,0.14920941939059815,1
Nakusp,1975,0.2266824085005903,0.11902794012872311,1
