herd,year,season,type,calves,adults,recruitment
Kennedy Siding,2007,winter,OSC,17,103,0.1650485436893204
Kennedy Siding,2006,winter,OSC,16,75,0.21333333333333335
Kennedy Siding,2005,winter,OSC,4,48,0.08333333333333333
Kennedy Siding,2004,winter,OSC,9,51,0.17647058823529413
Kennedy Siding,2003,winter,OSC,9,34,0.2647058823529412
Kennedy Siding,1992,winter,OSC,15,82,0.18292682926829268
Klinse-Za,2020,winter,OSC,10,51,0.19607843137254902
Klinse-Za,2019,winter,OSC,11,70,0.15714285714285714
Klinse-Za,2018,winter,OSC,12,54,0.2222222222222222
Quintette,2017,winter,OSC,9,40,0.225
Klinse-Za,2017,winter,OSC,12,49,0.24489795918367346
Klinse-Za,2016,winter,OSC,9,45,0.2
Klinse-Za,2015,winter,OSC,6,36,0.16666666666666666
Klinse-Za,2014,winter,OSC,4,18,0.2222222222222222
Klinse-Za,2013,winter,OSC,1,7,0.14285714285714285
Klinse-Za,2011,winter,OSC,2,33,0.06060606060606061
Klinse-Za,2010,winter,OSC,2,21,0.09523809523809523
Klinse-Za,2009,winter,OSC,6,42,0.14285714285714285
Klinse-Za,2008,winter,OSC,8,34,0.23529411764705882
Klinse-Za,2007,winter,OSC,1,8,0.125
Klinse-Za,2006,winter,OSC,1,4,0.25
Klinse-Za,2005,winter,OSC,10,31,0.3225806451612903
Klinse-Za,2004,winter,OSC,3,16,0.1875
Klinse-Za,2003,winter,OSC,4,25,0.16
Klinse-Za,2002,winter,OSC,1,17,0.058823529411764705
Nakusp,1976,winter,OSC,4,7,0.5714285714285714
Nakusp,1975,winter,OSC,3,11,0.2727272727272727
Nakusp,1974,winter,OSC,3,14,0.21428571428571427
Narraway AB,2020,winter,OSC,13,58,0.22413793103448276
Narraway AB,2019,winter,OSC,10,25,0.4
Narraway AB,2018,winter,OSC,5,33,0.15151515151515152
Narraway AB,2017,winter,OSC,4,22,0.18181818181818182
Narraway AB,2016,winter,OSC,4,19,0.21052631578947367
Narraway AB,2015,winter,OSC,5,30,0.16666666666666666
Narraway AB,2014,winter,OSC,3,37,0.08108108108108109
Narraway AB,2013,winter,OSC,4,55,0.07272727272727272
Narraway AB,2012,winter,OSC,5,45,0.1111111111111111
Narraway AB,2011,winter,OSC,10,74,0.13513513513513514
Narraway AB,2010,winter,OSC,13,67,0.19402985074626866
Narraway AB,2009,winter,OSC,9,64,0.140625
Narraway AB,2008,winter,OSC,1,65,0.015384615384615385
Narraway AB,2007,winter,OSC,2,100,0.02
Narraway AB,2006,winter,OSC,10,77,0.12987012987012986
Narraway AB,2005,winter,OSC,4,36,0.1111111111111111
North Cariboo,2021,winter,OSC,14,91,0.15384615384615385
Rainbows,2003,winter,OSC,4,35,0.11428571428571428
Rainbows,2002,winter,OSC,3,41,0.07317073170731707
Rainbows,2001,winter,OSC,6,30,0.2
Rainbows,2000,winter,OSC,12,78,0.15384615384615385
Rainbows,1999,winter,OSC,5,43,0.11627906976744186
Rainbows,1998,winter,OSC,4,55,0.07272727272727272
Rainbows,1997,winter,OSC,2,69,0.028985507246376812
Rainbows,1996,winter,OSC,13,104,0.125
Rainbows,1988,winter,OSC,7,57,0.12280701754385964
Rainbows,1987,winter,OSC,31,134,0.23134328358208955
Rainbows,1986,winter,OSC,6,12,0.5
Redrock/Prairie Creek,2020,winter,OSC,25,106,0.2358490566037736
Redrock/Prairie Creek,2019,winter,OSC,15,62,0.24193548387096775
Redrock/Prairie Creek,2018,winter,OSC,22,77,0.2857142857142857
Redrock/Prairie Creek,2017,winter,OSC,18,69,0.2608695652173913
Redrock/Prairie Creek,2016,winter,OSC,9,87,0.10344827586206896
Redrock/Prairie Creek,2015,winter,OSC,17,95,0.17894736842105263
Redrock/Prairie Creek,2014,winter,OSC,11,80,0.1375
Redrock/Prairie Creek,2013,winter,OSC,14,92,0.15217391304347827
Redrock/Prairie Creek,2012,winter,OSC,14,98,0.14285714285714285
Redrock/Prairie Creek,2011,winter,OSC,17,118,0.1440677966101695
Redrock/Prairie Creek,2010,winter,OSC,17,115,0.14782608695652175
Redrock/Prairie Creek,2009,winter,OSC,17,96,0.17708333333333334
Redrock/Prairie Creek,2008,winter,OSC,19,122,0.1557377049180328
Redrock/Prairie Creek,2007,winter,OSC,8,71,0.11267605633802817
Redrock/Prairie Creek,2006,winter,OSC,4,87,0.04597701149425287
Redrock/Prairie Creek,2005,winter,OSC,14,95,0.14736842105263157
Redrock/Prairie Creek,2004,winter,OSC,10,58,0.1724137931034483
Redrock/Prairie Creek,2003,winter,OSC,9,89,0.10112359550561797
Tweedsmuir,2021,winter,OSC,31,103,0.30097087378640774
Tweedsmuir,2019,winter,OSC,13,76,0.17105263157894737
Tweedsmuir,2018,winter,OSC,28,87,0.3218390804597701
Tweedsmuir,2017,winter,OSC,7,101,0.06930693069306931
Tweedsmuir,2016,winter,OSC,13,108,0.12037037037037036
Tweedsmuir,2012,winter,OSC,6,56,0.10714285714285714
Wells Gray North,2008,winter,OSC,8,80,0.1
Chase,2021,winter,MNKA,79,401,0.1970074812967581
Chase,2010,winter,MNKA,41,253,0.16205533596837945
