id,herd,year,enter.date,exit.date,event,enter,exit,time
118,Maligne,2016,2016-01-01,2016-12-31,0,0,12,365
118,Maligne,2017,2017-01-01,2017-12-31,0,0,12,364
118,Maligne,2018,2018-01-01,2018-06-19,1,0,6,169
12,Columbia South,1991,1991-12-03,1991-12-31,0,11,12,28
12,Columbia South,1992,1992-01-01,1992-12-31,0,0,12,365
12,Columbia South,1993,1993-01-01,1993-12-31,0,0,12,364
12,Columbia South,1994,1994-01-01,1994-12-31,0,0,12,364
12,Columbia South,1995,1995-01-01,1995-12-31,0,0,12,364
12,Columbia South,1996,1996-01-01,1996-12-31,0,0,12,365
12,Columbia South,1997,1997-01-01,1997-07-29,1,0,7,209
12,Itcha-Ilgachuz,1996,1996-05-25,1996-12-31,0,4,12,220
12,Itcha-Ilgachuz,1997,1997-01-01,1997-12-31,0,0,12,364
12,Itcha-Ilgachuz,1998,1998-01-01,1998-12-31,0,0,12,364
12,Itcha-Ilgachuz,1999,1999-01-01,1999-12-31,0,0,12,364
12,Itcha-Ilgachuz,2000,2000-01-01,2000-12-31,0,0,12,365
12,Itcha-Ilgachuz,2001,2001-01-01,2001-12-31,0,0,12,364
12,Itcha-Ilgachuz,2002,2002-01-01,2002-11-14,0,0,11,317
12,Itcha-Ilgachuz,2012,2012-10-01,2012-12-31,0,9,12,91
12,Itcha-Ilgachuz,2013,2013-01-01,2013-12-31,0,0,12,364
12,Itcha-Ilgachuz,2014,2014-01-01,2014-12-31,0,0,12,364
12,Itcha-Ilgachuz,2015,2015-01-01,2015-04-02,0,0,4,91
12,Wells Gray South,1985,1985-12-28,1985-12-31,0,11,12,3
12,Wells Gray South,1986,1986-01-01,1986-12-31,0,0,12,364
12,Wells Gray South,1987,1987-01-01,1987-12-31,0,0,12,364
12,Wells Gray South,1988,1988-01-01,1988-12-16,0,0,12,350
121,Frisby-Boulder,2001,2001-12-15,2001-12-31,0,11,12,16
121,Frisby-Boulder,2002,2002-01-01,2002-12-31,0,0,12,364
121,Frisby-Boulder,2003,2003-01-01,2003-12-31,0,0,12,364
121,Frisby-Boulder,2004,2004-01-01,2004-12-31,0,0,12,365
121,Frisby-Boulder,2005,2005-01-01,2005-12-09,0,0,12,342
122,Columbia North,2001,2001-12-15,2001-12-31,0,11,12,16
122,Columbia North,2002,2002-01-01,2002-09-08,1,0,9,250
123,Columbia North,2001,2001-12-15,2001-12-31,0,11,12,16
123,Columbia North,2002,2002-01-01,2002-12-31,0,0,12,364
123,Columbia North,2003,2003-01-01,2003-12-31,0,0,12,364
123,Columbia North,2004,2004-01-01,2004-12-31,0,0,12,365
123,Columbia North,2005,2005-01-01,2005-12-31,0,0,12,364
123,Columbia North,2006,2006-01-01,2006-01-01,0,0,1,0
124,Columbia North,2001,2001-12-15,2001-12-31,0,11,12,16
124,Columbia North,2002,2002-01-01,2002-12-31,0,0,12,364
124,Columbia North,2003,2003-01-01,2003-12-31,0,0,12,364
124,Columbia North,2004,2004-01-01,2004-12-31,0,0,12,365
124,Columbia North,2005,2005-01-01,2005-07-20,1,0,7,200
125,Wells Gray South,2001,2001-12-16,2001-12-31,0,11,12,15
125,Wells Gray South,2002,2002-01-01,2002-02-06,0,0,2,36
126,Wells Gray South,2001,2001-12-16,2001-12-31,0,11,12,15
126,Wells Gray South,2002,2002-01-01,2002-10-03,1,0,10,275
128,Monashee,2001,2001-12-16,2001-12-31,0,11,12,15
128,Monashee,2002,2002-01-01,2002-12-31,0,0,12,364
128,Monashee,2003,2003-01-01,2003-12-31,0,0,12,364
128,Monashee,2004,2004-01-01,2004-12-31,0,0,12,365
128,Monashee,2005,2005-01-01,2005-10-24,0,0,10,296
13,Columbia South,1991,1991-12-03,1991-12-31,0,11,12,28
13,Columbia South,1992,1992-01-01,1992-12-31,0,0,12,365
13,Columbia South,1993,1993-01-01,1993-11-13,1,0,11,316
13,Itcha-Ilgachuz,1996,1996-05-25,1996-12-31,0,4,12,220
13,Itcha-Ilgachuz,1997,1997-01-01,1997-07-16,1,0,7,196
13,Itcha-Ilgachuz,2012,2012-10-01,2012-12-31,0,9,12,91
13,Itcha-Ilgachuz,2013,2013-01-01,2013-12-31,0,0,12,364
13,Itcha-Ilgachuz,2014,2014-01-01,2014-12-31,0,0,12,364
13,Itcha-Ilgachuz,2015,2015-01-01,2015-04-02,0,0,4,91
13,Wells Gray South,1985,1985-12-28,1985-12-31,0,11,12,3
13,Wells Gray South,1986,1986-01-01,1986-12-31,0,0,12,364
13,Wells Gray South,1987,1987-01-01,1987-12-31,0,0,12,364
13,Wells Gray South,1988,1988-01-01,1988-12-16,0,0,12,350
130,Wells Gray South,2001,2001-12-28,2001-12-31,0,11,12,3
130,Wells Gray South,2002,2002-01-01,2002-12-31,0,0,12,364
130,Wells Gray South,2003,2003-01-01,2003-03-14,0,0,3,72
131,Wells Gray South,2001,2001-12-28,2001-12-31,0,11,12,3
131,Wells Gray South,2002,2002-01-01,2002-12-31,0,0,12,364
131,Wells Gray South,2003,2003-01-01,2003-03-27,0,0,3,85
132,Columbia North,2001,2001-12-28,2001-12-31,0,11,12,3
132,Columbia North,2002,2002-01-01,2002-01-16,1,0,1,15
136,Columbia North,2003,2003-01-09,2003-12-31,0,0,12,356
136,Columbia North,2004,2004-01-01,2004-12-31,0,0,12,365
136,Columbia North,2005,2005-01-01,2005-12-31,0,0,12,364
136,Columbia North,2006,2006-01-01,2006-05-24,0,0,5,143
137,Frisby-Boulder,2003,2003-01-09,2003-12-31,0,0,12,356
137,Frisby-Boulder,2004,2004-01-01,2004-12-31,0,0,12,365
137,Frisby-Boulder,2005,2005-01-01,2005-12-31,0,0,12,364
137,Frisby-Boulder,2006,2006-01-01,2006-06-06,1,0,6,156
138,Brazeau,2011,2011-05-14,2011-12-31,0,4,12,231
138,Brazeau,2012,2012-01-01,2012-12-31,0,0,12,365
138,Brazeau,2013,2013-01-01,2013-06-28,1,0,6,178
14,Columbia North,2018,2018-03-13,2018-12-31,0,2,12,293
14,Columbia North,2019,2019-01-01,2019-06-03,0,0,6,153
14,Columbia South,1991,1991-12-03,1991-12-31,0,11,12,28
14,Columbia South,1992,1992-01-01,1992-12-13,1,0,12,347
14,Wells Gray South,1985,1985-12-28,1985-12-31,0,11,12,3
14,Wells Gray South,1986,1986-01-01,1986-12-31,0,0,12,364
14,Wells Gray South,1987,1987-01-01,1987-12-14,0,0,12,347
144,Wells Gray South,2003,2003-01-09,2003-09-10,1,0,9,244
145,Wells Gray South,2003,2003-01-09,2003-12-31,0,0,12,356
145,Wells Gray South,2004,2004-01-01,2004-12-31,0,0,12,365
145,Wells Gray South,2005,2005-01-01,2005-12-31,0,0,12,364
145,Wells Gray South,2006,2006-01-01,2006-12-31,0,0,12,364
145,Wells Gray South,2007,2007-01-01,2007-12-31,0,0,12,364
145,Wells Gray South,2008,2008-01-01,2008-04-15,0,0,4,105
