ACTION,Herd,BC Herd,Year,Official Survey Timing,"Survey Count (KMB = SO, Total count) OTC",MinCount (KMB = Minimum # known alive),NFG,NFG-Reason,Use for trend? (KMB - BPV?),"Estimate (MC, eg JHE)","Parameter Method (JHE, mark resight etc)",LCL-90%,UCL-90%,CV,SCF,N collar available,N collars detected,"KMB = Observed sample count, OSC; Min count (survey for recruitment - cannot be used for trend analyses in the IPM or otherwise)",N. Calves (OTC),N. Calves (Min # Known Alive),N. Calves (OSC),Percent calves- free ranging (OTC),Percent calves- free ranging (Min # Known Alive),Percent calves- including penned calves,N. Adult F (OTC),N. Adult F (Min # Known Alive),N. Adult F (OSC),N. Adult M (OTC),N. Adult M (Min # Known Alive),N. Adult M (OSC),N. Adult (Sex Unclassified) (OTC),N. Adult (Sex Unclassified) (Min # Known Alive),N. Adult (Sex Unclassified) (OSC),Unclassified Life Stage and Sex (OTC),Unclassified Life Stage and Sex (Min # Known Alive),Unclassified Life Stage and Sex (OSC),Yrling - Unclas Sex (OTC),Yrling - Unclas Sex (Min # Known Alive),Yrling - Unclas Sex (OSC),Who entered the data?,Relevant Notes in Original Data,Notes in Original Data on MNKA/ Estimate/ Parameter Method,Survey Type (s),Additional Notes
,Kennedy Siding,Kennedy Siding,2016,Winter,50,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,,,,26,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,"Note (BM): I summed the 2 Juv F, 3 Juv M for the number of calves (OTC)",,
,Kennedy Siding,Kennedy Siding,2018,Winter,65,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,,,,32,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,"Note (BM): I summed the 6 Juv F, 3 Juv M for the number of calves (OTC)",,
,Kennedy Siding,Kennedy Siding,2019,Winter,77,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,,,,36,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,"Note (BM): I summed the 11 Juv F, 7 Juv M for the number of calves (OTC)",,
,Kennedy Siding,Kennedy Siding,2020,Winter,87,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,,,,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,"Note (BM): I summed the 3 Juv F, 8 Juv M for the number of calves (OTC)",,
,Klinse-Za,Moberly,2006,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,,,,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,BM,,,,
,Klinse-Za,Moberly,2007,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,1,,,,NA,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,BM,,,,
,Klinse-Za,Moberly,2013,Winter,NA,16,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,1,,,,NA,NA,9,NA,NA,6,NA,NA,NA,NA,NA,8,NA,NA,NA,BM,Same individuals seen during all three replicate counts in 2013; Caribou counted during flights to capture and collar caribou,"Note (BM): Same number of individuals (16) seen on 1/?, 1/18, and 2/9 surveys. For Ad F, 2 seen 1/18 and 2/9, 9 seen 1/?. For Ad M, 6 seen on all 3 surveys. For juvs, only one survey listed. For unclassified life stage and sex, same number of individuals (8) seen on 1/18 and 2/9.",,
,Klinse-Za,Moberly,2002,Winter,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,1,,,,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,BM,,,,
,Klinse-Za,Moberly,2004,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,3,,,,NA,NA,14,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Klinse-Za,Moberly,2014,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,4,,,,NA,NA,3,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,BM,"Vanessa Smith, June 11, 2020: Moberly – Population Assessment project ends in 2014 because after this, Moberly and Scott are combined as Moberly-Scott (see email in Moberly Scott data capture folder – Need to Know)",,,
,Klinse-Za,Moberly,2010,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,2,,,,NA,NA,10,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Klinse-Za,Moberly,2003,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,4,,,,NA,NA,5,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,BM,"Note (BM): File 2003_Caribou_AerialRutSurvival_Moberly also has OSC data for 2003, from a survey conducted 11/2, as follows: individuals 83, juvs 15, Ad F 55, Ad M 13",,,
,Klinse-Za,Moberly,2011,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,3,3,35,NA,NA,2,,,,NA,NA,7,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,BM,"Note (BM): Estimate of individual numbers, calculated using SCF of 1, was 35",,,
,Klinse-Za,Moberly,2005,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,10,,,,NA,NA,7,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,BM,,,,
,Klinse-Za,Moberly,2008,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,8,,,,NA,NA,4,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,BM,,,,
,Klinse-Za,Moberly-Scott,2015,Winter,NA,42,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,42,6,NA,6,,,,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,BM,OSC: 10 remote trail cameras set-up in areas known to have historic caribou sightings and areas of high value caribou habitat did not yield any positive detection of caribou. // Year 1 of remote camera project (2014-2015); 124 camera days of operation (01-Dec-2014 to 31-Jan-2015),,,
,Klinse-Za,Moberly,2009,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,6,,,,NA,NA,5,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,BM,,,,
,Klinse-Za,Moberly-Scott,2016,Winter,NA,54,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,54,9,NA,9,,,,29,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"OSC: 10 remote trail cameras set-up in areas known to have historic caribou sightings and areas of high value caribou habitat did not yield any positive detection of caribou. // Year 2 of remote camera project (2015-2016); 1,220 camera days of operation for the 10 remote cameras (5,467 photos)",,,
,Klinse-Za,Moberly-Scott,2020,Winter,61,85,,NA,MNKA,68,SCF,NA,NA,NA,0.9,10,9,61,10,NA,10,,,,21,30,NA,30,40,NA,0,0,NA,0,0,NA,0,1,NA,BM,,,,
,Klinse-Za,Moberly-Scott,2017,Winter,NA,61,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,61,12,NA,12,,,,30,NA,NA,12,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,BM,"OSC: 10 remote trail cameras set-up in areas known to have historic caribou sightings and areas of high value caribou habitat did not yield any positive detection of caribou. // Year 3 of remote camera project (2016-2017); 3,042 camera days of operation for  9 remote cameras (excluding cameras SW08 and SW10; 41,284 photos of which 1,385 useful); Day cameras checked (only date provided) used for the date",,,
,Klinse-Za,Moberly-Scott,2018,Winter,NA,66,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,66,12,NA,12,,,,26,NA,NA,25,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Klinse-Za,Moberly-Scott,2019,Winter,NA,81,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,81,11,NA,11,,,,34,NA,NA,27,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,BM,,,,
,Klinse-Za,Moberly-Scott,2021,Winter,101,101,,NA,MNKA,,SCF,NA,NA,NA,1,19,19,101,14,NA,NA,,,,32,NA,NA,44,NA,NA,,,NA,,,4,7,,NA,CL,,,,
,Klinse-Za,Moberly,2012,Winter,25,25,,NA,"OTC, MC",25,SCF,NA,NA,NA,1,3,3,NA,3,NA,NA,,,,3,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Biologist requests Minimum Count terminology (low confidence in count),,
,Klinse-Za,Moberly,1996,Winter,181,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,,,,105,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Maligne,Maligne,1993,October,41,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,10,,,,,,15,,,11,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,1996,October,40,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,3,,,,,,20,,,12,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,1998,October,68,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,15,,,,,,26,,,19,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2000,October,41,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,6,,,,,,22.5,,,12,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2001,October,12,NA,,NA,NA,30.9,JHE,NA,NA,NA,NA,0,0,,4,,,,,,11,,,6,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2018,October,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2019,October,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2020,October,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2021,October,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2009,October,4,4,,NA,NA,6.6,JHE,NA,NA,NA,NA,1,1,,1,,,,,,3,,,0,,,,,,,,,1,,,LN,,,,
,Maligne,Maligne,2014,October,2,2,,NA,NA,NA,NA,NA,NA,NA,NA,1,1,,0,,,,,,1,,,1,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2015,October,3,3,,NA,NA,NA,NA,NA,NA,NA,NA,1,1,,1,,,,,,1,,,1,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2016,October,3,3,,NA,NA,NA,NA,NA,NA,NA,NA,1,1,,1,,,,,,1,,,1,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2017,October,0,3,,NA,NA,NA,NA,NA,NA,NA,NA,1,0,,0,,,,,,0,,,0,,,,,,,,,,,,LN,cow/ca/male observed once telemetry used.,,,
,Maligne,Maligne,2005,October,8,8,,NA,NA,10.5,JHE,NA,NA,NA,NA,2,2,,1,,,,,,5,,,2,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2006,October,7,8,,NA,NA,5.3,JHE,NA,NA,NA,NA,2,1,,2,,,,,,3,,,2,,,,,,,,,,,,LN,"1 female, alone, found with telemetry",,,
,Maligne,Maligne,2007,October,5,5,,NA,NA,6.7,JHE,NA,NA,NA,NA,2,2,,0,,,,,,4,,,1,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2008,October,4,6,,NA,NA,4,JHE,NA,NA,NA,NA,2,1,,1,,,,,,1,,,2,,,,,,,,,,,,LN,1 co/ca found with telemetry after survey,,,
,Maligne,Maligne,2011,October,1,6,,NA,NA,NA,NA,NA,NA,NA,NA,2,0,,1,,,,,,,,,1,,,,,,,,,,,,LN,"group of5, 2 marks, found with telemetry: 2m, 2af, 1 calf",,,
,Maligne,Maligne,2012,October,6,6,,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,1,,,,,,3,,,2,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,2013,October,5,5,,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,0,,,,,,2,,,1,,,,,,,,,2,,,LN,,,,
,Maligne,Maligne,2004,October,7,11,,NA,NA,12.1,JHE,NA,NA,NA,NA,3,1,,1,,,,,,2,,,2,,,,,,,,,2,,,LN,"an additional 4 found with telemetry, 2 marks. 1adult male, 3AF",,,
,Maligne,Maligne,2003,October,19,24,,NA,NA,18.3,JHE,NA,NA,NA,NA,7,4,,4,,,,,,8,,,5,,,,,,,,,2,,,LN,"an additional 5 found with telemetry, 3 marks. 1adult male, 3AF, 1yly, 0 calf",,,
,Maligne,Maligne,2010,October,NA,6,Y,just used telemetry,NA,6,JHE,NA,NA,NA,NA,2,2,,0,,,,,,4,,,2,,,,,,,,,,,,LN,,,,
,Maligne,Maligne,1988,October,NA,40,,NA,NA,NA,NA,NA,NA,NA,NA,,,,8,,,,,,11,,,12,,,4,,,,,,5,,,LN,,,,
,Monashee,Monashee,2002,Winter,4,NA,,NA,MC,5,NA,NA,NA,NA,0.83,1,1,NA,0,NA,NA,,,,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,BM,An average sightability correction factor (SCF) was calculated as the sum of radio-collared caribou observed on all surveys divided by the sum of radio-collared caribou present on all surveys from 1986 to 2006.,,,
,Monashee,Monashee,2006,Winter,7,NA,,NA,MC,8,NA,NA,NA,NA,0.83,1,1,NA,1,NA,NA,,,,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,BM,An average sightability correction factor (SCF) was calculated as the sum of radio-collared caribou observed on all surveys divided by the sum of radio-collared caribou present on all surveys from 1986 to 2006.,,,
,Monashee,Monashee,2004,Winter,7,NA,,NA,MC,8,NA,NA,NA,NA,0.83,2,2,NA,1,NA,NA,,,,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,BM,An average sightability correction factor (SCF) was calculated as the sum of radio-collared caribou observed on all surveys divided by the sum of radio-collared caribou present on all surveys from 1986 to 2006.,,,
,Monashee,Monashee,1994,Winter,10,NA,,NA,MC,12,NA,NA,NA,NA,0.83,NA,NA,NA,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,BM,An average sightability correction factor (SCF) was calculated as the sum of radio-collared caribou observed on all surveys divided by the sum of radio-collared caribou present on all surveys from 1986 to 2006.,,,
,Monashee,Monashee,2008,Winter,5,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,,,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Monashee,Monashee,2011,Winter,3,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,BM,,,,
,Monashee,Monashee,2016,Winter,1,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Nakusp,Nakusp,1977,Winter,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,BM,,,,
,Nakusp,Nakusp,1976,Winter,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,4,,,,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,BM,,,,
,Nakusp,Nakusp,1975,Winter,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,3,,,,NA,NA,NA,NA,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,BM,,,,
,Nakusp,Nakusp,1974,Winter,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,3,,,,NA,NA,NA,NA,NA,1,NA,NA,13,NA,NA,NA,NA,NA,NA,BM,,,,
,Nakusp,Nakusp,2019,Winter,24,25,,NA,MNKA,NA,NA,NA,NA,NA,NA,5,5,NA,1,NA,NA,,,,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 1 estimated from tracks,,
,Nakusp,Nakusp,2018,Winter,31,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,8,8,NA,4,NA,NA,,,,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Nakusp,Nakusp,2002,Winter,76,80,,NA,MNKA,NA,NA,NA,NA,NA,NA,9,6,NA,12,NA,NA,,,,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 4 estimated from tracks;  collar sightability are combined collars for Nakusp AND Duncan; could not split them out so left as combined,,
,Nakusp,Nakusp,2021,Winter,28,NA,,NA,OTC,NA,NA,NA,NA,NA,1,9,9,NA,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Nakusp,Nakusp,1996,Winter,172,182,,NA,MNKA,NA,NA,NA,NA,NA,NA,13,12,NA,17,NA,NA,,,,135,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 10 estimate from tracks,,
,Nakusp,Nakusp,1999,Winter,151,168,,NA,MNKA,NA,NA,NA,NA,NA,NA,17,14,NA,11,NA,NA,,,,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 17 estimated from tracks,,
,Nakusp,Nakusp,1997,Winter,198,207,,NA,MNKA,NA,NA,NA,NA,NA,NA,23,22,NA,13,NA,NA,,,,NA,NA,NA,NA,NA,NA,174,NA,NA,11,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 9 estimated from tracks;  collar sightability are combined collars for Nakusp AND Duncan; could not split them out so left as combined,,
,Nakusp,Nakusp,1994,Winter,148,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,,,,NA,NA,NA,28,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Nakusp,Nakusp,1995,Winter,43,45,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,,,,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 2 estimated from tracks,,
,Nakusp,Nakusp,2004,Winter,70,80,,NA,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,,,,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 10 estimated from tracks,,
,Nakusp,Nakusp,2005,Winter,75,94,,NA,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,,,,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 19 estimated from tracks,,
,Nakusp,Nakusp,2006,Winter,74,87,,NA,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,,,,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 13 estimated from tracks,,
,Nakusp,Nakusp,2007,Winter,59,72,,NA,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,,,,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 13 estimated from tracks,,
,Nakusp,Nakusp,2008,Winter,85,87,,NA,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,,,,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 2 estimated from tracks,,
,Nakusp,Nakusp,2010,Winter,77,85,,NA,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,,,,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 8 estimated from tracks (3 groups of tracks accounted for 5-8 caribou),,
,Nakusp,Nakusp,2012,Winter,85,87,,NA,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,,,,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 2 estimated from tracks,,
,Nakusp,Nakusp,2014,Winter,50,53,,NA,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,,,,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed count plus 3 estimated from tracks,,
,Nakusp,Nakusp,2015,Winter,43,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,,,,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Nakusp,Nakusp,2016,Winter,35,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Nakusp,Nakusp,2017,Winter,29,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,,,9,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Nakusp,Nakusp,2020,Winter,12,26,Y,Incomplete survey - cancelled due to COVID-19,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,,,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,14,NA,NA,NA,NA,BM,Incomplete survey - cancelled due to COVID-19,MNKA: Observed count plus 14 caribou observed during a capture event one month prior  // Unclassfied Life Stage and Sex MNKA: 14 caribou observed during a capture event one month prior and added to the total count of the March 2020 census survey,,
,Narraway AB,NA,2016,Winter,,,,NA,NA,,,,,,,,,23,,,4,,,,,,15.25,,,3.75,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2017,Winter,,,,NA,NA,,,,,,,,,26,,,4,,,,,,18.6,,,3.4,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2015,Winter,,,,NA,NA,,,,,,,,,35,,,5,,,,,,22.3,,,7.7,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2019,Winter,,,,NA,NA,,,,,,,,,35,,,10,,,,,,14.6,,,10.4,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2018,Winter,,,,NA,NA,,,,,,,,,38,,,5,,,,,,24.3,,,8.7,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2005,Winter,,,,NA,NA,,,,,,,,,40,,,4,,,,,,28.1,,,7.9,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2014,Winter,,,,NA,NA,,,,,,,,,40,,,3,,,,,,28.3,,,8.7,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2012,Winter,,,,NA,NA,,,,,,,,,50,,,5,,,,,,41.2,,,3.8,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2013,Winter,,,,NA,NA,,,,,,,,,59,,,4,,,,,,42,,,13,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2008,Winter,,,,NA,NA,,,,,,,,,66,,,1,,,,,,,,,,,65,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2020,Winter,,,,NA,NA,,,,,,,,,71,,,13,,,,,,32.65,,,25.35,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2009,Winter,,,,NA,NA,,,,,,,,,73,,,9,,,,,,,,,,,64,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2010,Winter,,,,NA,NA,,,,,,,,,80,,,13,,,,,,,,,,,67,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2011,Winter,,,,NA,NA,,,,,,,,,84,,,10,,,,,,,,,,,74,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2006,Winter,,,,NA,NA,,,,,,,,,87,,,10,,,,,,56.75,,,20.25,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway AB,NA,2007,Winter,,,,NA,NA,,,,,,,,,102,,,2,,,,,,68.85,,,31.15,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Narraway BC,Narraway,2007,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,NA,NA,2,NA,NA,1,NA,NA,9,NA,NA,0,NA,NA,NA,CL,"Bearhole-Redwillow data from KMB (Macgregor) July 29, 2022",,,"Bearhole-Redwillow data from KMB (Macgregor) July 29, 2022, CL added estimates from Dale Seip (May 27, 2022) as min counts. These are  ""Elena also did a population estimate based on the number of collared animals in each group"" so not actually a min count, but that's most efficient way to get them into IPM and acknowledge they are low(ish) quality data"
,Narraway BC,Narraway,2008,Winter,NA,80,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,,,,NA,NA,5,NA,NA,0,NA,NA,41,NA,NA,0,NA,NA,NA,CL,"Bearhole-Redwillow data from KMB (Macgregor) July 29, 2022",,,"Bearhole-Redwillow data from KMB (Macgregor) July 29, 2022, CL added estimates from Dale Seip (May 27, 2022) as min counts. These are  ""Elena also did a population estimate based on the number of collared animals in each group"" so not actually a min count, but that's most efficient way to get them into IPM and acknowledge they are low(ish) quality data"
